patient,mechanism,rate,n_runs,green_green,green_yellow,green_red,yellow_green,yellow_yellow,yellow_red,red_green,red_yellow,red_red,precision_warning,precision_alert,recall_warning,recall_alert,recall_both,accuracy
P182427,MCAR,20pct,5,930,35,0,8,70,17,0,8,137,0.7368421052631579,0.9448275862068966,0.6194690265486725,0.8896103896103896,0.03864734299516908,0.7527272727272727
P230742,MCAR,20pct,5,908,2,0,0,39,1,0,3,67,0.975,0.9571428571428572,0.8863636363636364,0.9852941176470589,0.0,0.9464285714285714
P261190,MCAR,20pct,5,1162,8,0,20,30,0,1,18,156,0.6,0.8914285714285715,0.5357142857142857,1.0,0.11290322580645161,0.7982832618025751
P271946,MCAR,20pct,5,791,4,0,10,45,5,0,10,150,0.75,0.9375,0.7627118644067796,0.967741935483871,0.05128205128205128,0.8705357142857143
P111019,MCAR,25pct,5,640,9,1,7,15,8,4,11,225,0.5,0.9375,0.42857142857142855,0.9615384615384616,0.04583333333333333,0.8571428571428571
P182427,MCAR,25pct,5,924,41,0,8,67,20,0,7,138,0.7052631578947368,0.9517241379310345,0.5826086956521739,0.8734177215189873,0.03902439024390244,0.7295373665480427
P230742,MCAR,25pct,5,905,5,0,0,40,0,0,5,65,1.0,0.9285714285714286,0.8,1.0,0.0,0.9130434782608695
P261190,MCAR,25pct,5,1162,8,0,22,28,0,1,18,156,0.56,0.8914285714285715,0.5185185185185185,1.0,0.125,0.7896995708154506
P271946,MCAR,25pct,5,790,5,0,14,40,6,0,14,146,0.6666666666666666,0.9125,0.6779661016949152,0.9605263157894737,0.07526881720430108,0.8266666666666667
P111019,MNAR,5pct,5,650,0,0,0,20,10,0,0,240,0.6666666666666666,1.0,1.0,0.96,0.0,0.9629629629629629
P182427,MNAR,5pct,5,930,35,0,5,65,25,0,10,135,0.6842105263157895,0.9310344827586207,0.5909090909090909,0.84375,0.025,0.7272727272727273
P230742,MNAR,5pct,5,905,5,0,5,30,5,5,5,60,0.75,0.8571428571428571,0.75,0.9230769230769231,0.1111111111111111,0.782608695652174
P261190,MNAR,5pct,5,1155,15,0,0,35,15,10,0,165,0.7,0.9428571428571428,0.7,0.9166666666666666,0.05,0.8333333333333334
P271946,MNAR,5pct,5,790,5,0,0,55,5,0,25,135,0.9166666666666666,0.84375,0.6470588235294118,0.9642857142857143,0.0,0.8444444444444444
P111019,MNAR,10pct,5,650,0,0,5,15,10,0,0,240,0.5,1.0,1.0,0.96,0.0196078431372549,0.9444444444444444
P182427,MNAR,10pct,5,935,30,0,25,60,10,25,20,100,0.631578947368421,0.6896551724137931,0.5454545454545454,0.9090909090909091,0.3125,0.5925925925925926
P230742,MNAR,10pct,5,895,15,0,10,25,5,10,5,55,0.625,0.7857142857142857,0.5555555555555556,0.9166666666666666,0.25,0.64
P261190,MNAR,10pct,5,1150,15,5,10,20,20,15,5,155,0.4,0.8857142857142857,0.5,0.8611111111111112,0.14285714285714285,0.7142857142857143
